name,n_trials,n_sw_trials,n_vsw_trials,n_L_trials,n_R_trials,pct_correct,pct_sw_correct,pct_vsw_correct,pct_L_correct,pct_R_correct,task,subject,n_units,n_cells,n_mua,session
s2se81,133,65,49,64,69,0.7651515151515151,0.8769230769230769,0.8979591836734694,0.78125,0.7391304347826086,T3g,Cl,6,3,3,Cl_T3g_020419
s2se83,184,91,74,101,83,0.8142076502732241,0.8901098901098901,0.945945945945946,0.8415841584158416,0.7710843373493976,T3g,Cl,15,3,12,Cl_T3g_020519
s2se86,184,88,71,95,89,0.8571428571428571,0.8636363636363636,0.9014084507042254,0.9263157894736842,0.7640449438202247,T3g,Cl,13,3,10,Cl_T3g_020619
s2se87,215,103,76,103,112,0.7383177570093458,0.8252427184466019,0.8289473684210527,0.9223300970873788,0.5625,T3g,Cl,8,3,5,Cl_T3g_020719
s2se91,169,88,47,87,82,0.5857988165680473,0.6022727272727273,0.6170212765957447,0.4942528735632184,0.6829268292682927,T3i,Cl,13,4,9,Cl_T3i_021319
s2se92,101,49,35,51,50,0.79,0.8367346938775511,0.8857142857142857,0.7450980392156863,0.82,T3g,Cl,21,7,14,Cl_T3g_021419
s2se94,50,21,11,24,26,0.52,0.5238095238095238,0.3636363636363636,0.2916666666666667,0.7307692307692307,T3i,Cl,23,7,16,Cl_T3i_021419
s2se95,53,28,24,25,28,0.8490566037735849,0.8928571428571429,0.875,1.0,0.7142857142857143,T3g,Cl,12,3,9,Cl_T3g_021519
s2se97,151,81,49,76,75,0.6241610738255033,0.5679012345679012,0.5510204081632653,0.8421052631578947,0.3866666666666666,T3i,Cl,11,3,8,Cl_T3i_021519
s2se98,45,18,8,19,26,0.4772727272727273,0.5,0.625,0.4210526315789473,0.5,T3g,Cl,15,5,10,Cl_T3g_021719
s3se0,19,11,5,10,9,0.5,0.6363636363636364,0.6,0.2,0.7777777777777778,T3g,Al,10,3,7,Al_T3g_092618
s3se1,38,17,11,19,19,0.5675675675675675,0.6470588235294118,0.7272727272727273,0.4210526315789473,0.6842105263157895,T3g,Al,28,10,18,Al_T3g_092718
s3se3,35,12,5,10,25,0.5142857142857142,0.5833333333333334,0.8,0.5,0.52,T3g,Al,27,7,20,Al_T3g_092818
s3se5,70,41,26,41,29,0.6470588235294118,0.7073170731707317,0.6153846153846154,0.5365853658536586,0.7586206896551724,T3g,Al,6,0,6,Al_T3g_100218
s3se7,80,39,23,40,40,0.5822784810126582,0.6410256410256411,0.6956521739130435,0.575,0.575,T3g,Al,6,0,6,Al_T3g_100318
s3se9,91,44,27,43,48,0.651685393258427,0.75,0.925925925925926,0.6046511627906976,0.6666666666666666,T3g,Al,7,0,7,Al_T3g_100418
